Action,Item Id,Main Category,Sub Categories,Item Code,Product Title,Product Description,UPC,Brand,Department,Type,Tag,List Price,Price,Inventory,Min Order Qty,Available,Large Image,Additional Images,Item Properties
add/edit,201642,Barrication Tape,Barrication Tape,N35EG-012-0470,BARRICATION TAPE 200 MTR LENGTH X 3 Inch,"<div>
<p>Non-toxic,Non-reflective,High durability</p>
</div>",2.01642E+11,Kalika,,,,195,195,100,10,YES,/kalika-images/BARRICATION_TAPE_225_MTR_LENGTH_3_Inch.jpg,,"Colour - White and Red, Lead_Time - 6, Material - Plastic, Pattern - Printed, Size - 3 inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806, Sys_Discount_Group - Not Discounted"
add/edit,201643,Floor Marking Tape,"Floor Marking Tape,Home Featured,Featured",N71-FLOORTAPE,FLOOR MARKING TAPE 2 Inch,"<div><p>Non-toxic,Non-reflective,High durability</p></div>",2.01643E+11,Kalika,,,,140,140,999964,6,YES,/kalika-images/FLOOR_MARKING_TAPE_2_inch1.jpg,,"Adhesive_Side - Single Sided, Adhesive_Type - Pressure Sensitive, Colour - All(yellow black/ white red/ white green/ white black), Feature - Heat Resistant, Waterproof, Lead_Time - 6, Size - 2Inch, Sys_Num_Images - 3, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806, Sys_Discount_Group - Not Discounted"
add/edit,201644,Floor Marking Tape,Floor Marking Tape,N53-MASKINGTAPE,MARKING TAPE (ANY COLOUR) 3 inch  FOR MARKING OF TRIP HAZARD AREA,"<div><p>Non-toxic,Non-reflective,High durability</p></div>",2.01644E+11,Kalika,,,,155,155,19999850,6,YES,/kalika-images/MARKING_TAPE_ANY_COLOUR_3_Inch-_FOR_MARKING_OF_TRIP_HAZARD_AREA1.jpg,,"Adhesive_Side - Single Sided, Adhesive_Type - Pressure Sensitive, Colour - All(yellow black/ white red/ white green/ white black), Feature - Heat Resistant, Waterproof, Lead_Time - 6, Size - 2Inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806"
add/edit,201645,Barrier Cream,Barrier Cream,N51EM-052-0133,KERODEX 71 BARRIER CREAM,"This is a tough multipurpose cream that builds a protective sheath round hands that work with certain acids, alkalis, resins, paints, adhesives, industrial mineral oils etc.",2.01645E+11,Kerodex,,,,672,672,99,0,YES,/kalika-images/KERODEX_71_BARRIER_CREAM.jpeg,,"Lead_Time - 7, Sys_Num_Images - 1, Sys_Product_Type - 12% GST, Unit_of_Measure - KGM, UNSPSC - 46181707"
add/edit,201646,Rubber Mat,Rubber Mat,N36EG-020-0186,RUBBER MAT 6MM THK,"<div><ul>
<li>Long lasting</li>
<li>Excellent strength</li>
<li>Quality approved</li>
<li>Suitable for Material Handling Purposes.&nbsp;</li>
<li>Not Suitable for Oli &amp; chemical Resistant uses.&nbsp;</li>
</ul></div>",2.01646E+11,,,,,85,85,5000,0,YES,/kalika-images/RUBBER_MAT_6MM_THK.jpg,,"Lead_Time - 7, Material - Rubber, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Thickness - 12mm to 50mm, Unit_of_Measure - KGM, UNSPSC - 47131901, Sys_Discount_Group - Not Discounted"
add/edit,201647,Rubber Mat,"Rubber Mat,Facility Maintenance",N71-ACRYLICSH5MM,ACRYLIC SHEET 5MM THK (IN SQUARE FEET),"<div><ul class=""a-unordered-list a-vertical a-spacing-none"">
<li><b><span class=""a-list-item"">Suitable for DIY Projects.</span></b></li>
<li><b><span class=""a-list-item"">Easy to cut, just scratch with knife or acrylic cutter and bend over the edge of a table to break.</span></b></li>
<li><b><span class=""a-list-item"">Easy to join, glue it with quick bond easily available at any hardware store.</span></b></li>
<li><span class=""a-list-item""><b>Easy to drill holes</b>.</span></li>
<li><b><span class=""a-list-item"">Size Of Sheet 8' x 4'&nbsp;</span></b></li>
<li><b><span class=""a-list-item"">Thickness 5 mm.</span></b></li>
</ul></div>",2.01647E+11,,,,,180,180,132,32,YES,/kalika-images/acrylic_sheet.jpg,,"Lead_Time - 7, Material - Poly methyl methacrylate (PMMA), Min._Air-Compressor(HP) - , SIZE - 8 Ft X 4 Ft, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thickness - 5mm, Unit_of_Measure - FTK, UNSPSC - 47131906"
add/edit,201648,Lock,Lock,N35EG-012-0556,LOCK 75MM,"<div><p><b>6 BRASS LEVERS,</b></p>
<p><b>Model- ROUND BRASS - 75 mm L.S,</b></p>
<p><b> Type- PADLOCK,</b></p>
<p><b>KEYS= THREE MILLED KEYS,</b></p>
<p><b> Material-BRASS, </b></p>
<p><b>Locking- DOUBLE LOCKING</b></p></div>",2.01648E+11,,,,,250,250,1000,1,YES,/kalika-images/LOCK_75MM.jpeg,,"Lead_Time - 6, Lever - 9, Material - Stainless Steel, Package_Contents - 1 Piece Lock & 3 Pieces Keys, Shape - Round, Size - Outer Body: 75 mm, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46171503"
add/edit,201649,Lock,Lock,N35EG-012-0348,LOCK 50MM,,2.01649E+11,,,,,200,200,11000,1,YES,/kalika-images/LOCK_50MM.jpeg,,"Lead_Time - 6, Lever - 6, Material - Stainless Steel, Package_Contents - 1 Piece Lock & 3 Pieces Keys, Shape - Round, Size - Outer Body: 50 mm, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46171503"
add/edit,201650,Cotton Waste,Cotton Waste,N43HR-0016,COTTON WASTE for cleaning in MOQ-50kg balley,"<div>
<p>Made of Cotton cloths,used chrlorinated washed andused for wiping out hands and machinery</p>
</div>",2.0165E+11,Kalika,,,,35,35,49999500,50,YES,/kalika-images/COTTON_WASTE_9X12.jpg,,"Color - Colored, Condition - New, Lead_Time - 7, Material - Cotton, Pack_Size - 50 Kg Bag, Packaging_Type - HDPE Bag, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 47131502, Usage - Industrial"
add/edit,201651,Hosiery Cloth,Hosiery Cloth,N70HR-0180,HOSIERY CLOTH,"<div><p><b>Made of Cotton cloths, u</b><b>sed chrlorinated washed</b></p>
<p><b>Used for wiping out hands and machinery</b></p></div>",2.01651E+11,Kalika,,,,150,150,97,0,YES,/kalika-images/HOSIERY.jpg,,"Lead_Time - 7, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 99281104"
add/edit,201652,Saw Dust,Saw Dust,N79-SAWDUST,SAW DUST,<div><p><b>Best quality range of Natural Sawdust in various sizes.</b></p></div>,2.01652E+11,,,,,25,25,100000000,10,YES,/kalika-images/SAW_DUST.jpg,,"Lead_Time - 6, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, Unit_of_Measure - KGM, UNSPSC - 11121702"
add/edit,201653,Janitorial,"Janitorial,Featured",N35EG-012-0052,"ALUMINIUM FOIL, MAKE- FOIL PLUS / PAL, THK- 18 MICRON","<div>
<p>Good Thermal Coductivity</p>
<p>Durable</p>
<p>Easy to cut.</p>
</div>",2.01653E+11,Foil Plus,,,,340,340,2000,10,YES,/kalika-images/ALUMINIUM_FOIL_MAKE-_FOIL_PLUS_PAL_THK-_18_MICRON1.jpg,,"300mm_X__18_Micron - Weight, Color - Silver, Foil_Type - Standard, Lead_Time - 7, Material - Aluminium, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Type - Aluminium Foil, Unit_of_Measure - EA, UNSPSC - 30102006"
add/edit,201654,Packaging,Packaging,N50-200-1000-STRIP,PACKING STRIP M.S. - STEEL STRAP 19 MM,PACKING STRIP M.S. - STEEL STRAP 19 MM,2.01654E+11,,,,,90,90,100,0,YES,/kalika-images/PACKING_STRIP_M.S._-_STEEL_STRAP_19_MM.jpg,,"Lead_Time - 7, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - KGM, UNSPSC - 31151901"
add/edit,201655,Latch,Latch,N35EG-012-0511,LATCH WITH SPRING 250KG,LATCH WITH SPRING 250KG,2.01655E+11,,,,,42,42,100,0,YES,/kalika-images/lt.jpg,,"Lead_Time - 7, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 31162407"
add/edit,201656,Latch,Latch,N35EG-012-0512,LATCH WITH SPRING 500KG,LATCH WITH SPRING 500KG,2.01656E+11,,,,,34,34,100,0,YES,/kalika-images/lt.jpg,,"Lead_Time - 7, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 31162407"
add/edit,201657,Latch,Latch,N35EG-012-0513,LATCH WITH SPRING 1000KG,LATCH WITH SPRING 1000KG,2.01657E+11,,,,,38,38,100,0,YES,/kalika-images/lt.jpg,,"Lead_Time - 7, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 31162407"
add/edit,201659,Self Drilling Screw,Self Drilling Screw,N31EG-012-0890,SELF DRILLING SCREW 1 INCH,"<div><p>Accurate dimension,Sturdiness,Durable finish,Carbon Steel,Case Hardened,with assembeled galv, steel sealing washer</p></div>",2.01659E+11,HP,,,,4,4,200,200,YES,/kalika-images/SELF_DRILLING_SCREW_1_Inch1.jpg,,"Coating - XYLAN Coated, Head_Type - Hex Head, Lead_Time - 6, Material - Carbon Steel, Plating -  ZINC Plated , Size - 1 Inch, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Thickness - 5-25 mm, Unit_of_Measure - EA, UNSPSC - 23242106, Sys_Discount_Group - Not Discounted"
add/edit,201660,Self Drilling Screw,Self Drilling Screw,N31EG-012-0961,SELF DRILLING SCREW 1 1/2 INCH,"<div><p>Accurate dimension,Sturdiness,Durable finish,Carbon Steel,Case Hardened,with assembeled galv, steel sealing washer</p></div>",2.0166E+11,HP,,,,5,5,100,200,YES,/kalika-images/SELF_DRILLING_SCREW_1_12_inch1.jpg,,"Coating - XYLAN Coated, Head_Type - Hex Head, Lead_Time - 6, Material - Carbon Steel, Plating -  ZINC Plated , Size - 1.5 Inch, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Thickness - 5-25 mm, Unit_of_Measure - EA, UNSPSC - 23242106, Sys_Discount_Group - Not Discounted"
add/edit,201661,Self Drilling Screw,Self Drilling Screw,N31EG-012-0960,SELF DRILLING SCREW 2 INCH,"<div><p>Accurate dimension,Sturdiness,Durable finish,Carbon Steel,Case Hardened,with assembeled galv, steel sealing washer</p></div>",2.01661E+11,HP,,,,6,6,100,200,YES,/kalika-images/SELF_DRILLING_SCREW_2_Inch1.jpg,,"Coating - XYLAN Coated, Head_Type - Hex Head, Lead_Time - 6, Material - Carbon Steel, Plating -  ZINC Plated , Size - 2 Inch, Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Thickness - 5-25 mm, Unit_of_Measure - EA, UNSPSC - 23242106, Sys_Discount_Group - Not Discounted"
add/edit,201662,Allen Screw,Allen Screw,N31EG-012-0722,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-4X10","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01662E+11,UNBRAKO,,,,2.99,2.99,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-4X10.jpg,,"Diameter - M4, ISO - 4762, Lead_Time - 6, Length - 10mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 3 mm"
add/edit,201663,Allen Screw,Allen Screw,N51EG-012-0191,"ALLEN SCREW,UNBRAKO , SIZE-4X16","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01663E+11,UNBRAKO,,,,2.852,2.852,100,100,YES,/kalika-images/ALLEN_SCREWUNBRAKO_SIZE-4X16.jpg,,"Diameter - M4, ISO - 4762, Lead_Time - 6, Length - 16mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 3 mm"
add/edit,201664,Allen Screw,Allen Screw,N51EG-012-0192,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-4X20","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01664E+11,UNBRAKO,,,,2.76,2.76,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-4X20.jpg,,"Diameter - M4, ISO - 4762, Lead_Time - 6, Length - 20mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 3 mm"
add/edit,201665,Allen Screw,Allen Screw,N51EG-012-0193,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X10","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01665E+11,UNBRAKO,,,,1.84,1.84,1100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X10.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 10mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201666,Allen Screw,Allen Screw,N51EG-012-0194,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X16","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01666E+11,UNBRAKO,,,,2.07,2.07,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X16.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 16mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201667,Allen Screw,Allen Screw,N51EG-012-0195,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X20","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01667E+11,UNBRAKO,,,,2.3,2.3,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X20.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 20mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201668,Allen Screw,Allen Screw,N51EG-012-0275,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X25","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01668E+11,UNBRAKO,,,,2.53,2.53,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X25.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 25mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201669,Allen Screw,Allen Screw,N51EG-012-0249,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X50","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01669E+11,UNBRAKO,,,,3.91,3.91,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X50.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 50mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201670,Allen Screw,Allen Screw,N31EG-012-0729,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-5X90","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.0167E+11,UNBRAKO,,,,14.26,14.26,100,25,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-5X90.jpg,,"Diameter - M5, ISO - 4762, Lead_Time - 6, Length - 90mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 4mm"
add/edit,201671,Allen Screw,Allen Screw,N31EG-012-0730,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X10","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01671E+11,UNBRAKO,,,,3.45,3.45,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X10.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 10mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
add/edit,201672,Allen Screw,Allen Screw,N51EG-012-0239,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X180","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01672E+11,UNBRAKO,,,,35,35,100,25,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X180.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 180mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
add/edit,201673,Allen Screw,Allen Screw,N31EG-012-0732,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X16","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01673E+11,UNBRAKO,,,,2.99,2.99,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X16.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 16mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
add/edit,201674,Allen Screw,Allen Screw,N51EG-012-0203,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X20","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01674E+11,UNBRAKO,,,,3.22,3.22,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X20.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 20mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
add/edit,201675,Allen Screw,Allen Screw,N51EG-012-0204,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X25","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01675E+11,UNBRAKO,,,,3.68,3.68,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X25.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 25mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
add/edit,201676,Allen Screw,Allen Screw,N31EG-012-0733,"ALLEN SCREW,MAKE-UNBRAKO , SIZE-6X30","Impeccable finish,Rigid design,Corrosion resistance,Steel body,Stainless finish,Rust free",2.01676E+11,UNBRAKO,,,,4.14,4.14,100,100,YES,/kalika-images/ALLEN_SCREWMAKE-UNBRAKO_SIZE-6X30.jpg,,"Diameter - M6, ISO - 4762, Lead_Time - 6, Length - 30mm, Material - AISI 316, Measurement__System - Metric, Mechanical_Properties - Property Class A4-70, Product_Type - Cold Forged, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Thread_Type - Full Threaded, Unit_of_Measure - EA, UNSPSC - 23242106, Wrench_Size - 5mm"
